title,body,visibility,tags
final exam results and information,the final exams have been graded and here are the overall results median out of mean out of maximum out of minimum out of standard deviation based on points equivalent to out of we are not posting the final exams on gradescope based on usual course policy i e final exams are never returned if you would like to see your final exam please set up an appointment to see your instructor frank or tom after the spring semester starts the exam will not be curved the overall results however will be taken into account when final grades are computed best wishes for the winter break tom frank penny pin,public,final_exam
cutoffs for the course grade,what were the cutoffs for the final course grade,public,other
finals grades,hi i was just wondering around when the grades for our final would be posted thanks,public,final_exam
last chance faculty course evals close dec,last chance you should have received an email about completing the faculty course evaluations for your courses please complete the evaluation for as soon as possible we use this feedback to see what you feel is working and what can be tweaked or improved the dean of scs does read all evaluations and it is important for reappointment and promotion cases for faculty you will evaluate the course itself and your instructor s thank you very much for completing the evaluation for this course we really appreciate your feedback login at https cmu smartevals com at the weblogin screen enter your andrew id and password good luck with all of your finals it was great having you all in our classes this semester,public,logistics other
written grade,hi it is showing a on autolab for homework even though i submitted it is anyone else having the same issue,public,written13
lab e credits,when is the exact date that lab e will be posted to autolab cheeky student,public,labs
last lab credits,hello by when shall the lab during the last week lab e posted on autolab i checked on the autolab and it hasn't been posted yet,public,labs
it's been almost an hour since the exam ended and the final grades still aren't up,has there been some sort of delay s,public,final_exam
grades on autolab,my grades for written are not recorded on autolab when can i show it to a ta so that the grades are changed appropriately,public,final_exam
undefined behaviour,for unsigned ints if we multiply them by is it undefined behaviour or is it equal to x bitwise is int min defined as int min only or is it undefined in c c is int min and int min undefined in c c,public,final_exam
written solutions,hi all we had hoped to get written graded by this evening but we were unfortunately unable to finish those will be out by the end of tomorrow in the meantime here are sample solutions for written take a look at them and then go straight to bed p best of luck tomorrow you all have worked so hard this semester and you'll do fantastically on this exam written solutions pdf more pinda gifs aka me trying to finish my finals,public,written13
extra points,do we get extra points if we wish tom happy birthday in our note sheets tomorrow,public,final_exam
practice final spring k,safety in c task why is it exactly always going to be unsafe,public,final_exam
dense graph as adjacency list,would using an adjacency list for a dense graph make any sense if we keep track of lack of edges as in we store which vertices are not connected and assume the rest are instead of storing connections and assuming the rest are not in the typical implementation i know you could do it but would it be useful in anyway or have any special advantages as in other than space over an adjacency matrix,public,lectures
practice final,for question task the answer is return unsigned int w i but earlier we say that the ith bit is the left most so if w is the sequence then bit w should return true and bit w bit w bit w bit w should return false so shouldn't it be i k i,public,logistics
proving o log x y o log x log y,i'm having trouble doing question from james wu's big o practice how would one do the algebra to prove this,public,final_exam
short question,with evenly distributed keys in a hashtable searching for a key is o technically it's n m but that isn't the simplest form right,public,final_exam
big o,how to figure out o n log o n is o n log o n,public,final_exam
reminder final exam thurs am,the final is thursday dec at am you are allowed one sheet of notes x front and back bring your id arrive early sections a g ghc sections h j ghc sections k u cuc mcconomy auditorium good luck,public,final_exam
final exam spring,for question task couldn't i technically set int x int max and int y int max then call something like int z f x y to trigger integer overflow when the function f does a a b,public,final_exam
what is the value of a string,char str hello what would be the value str here,public,final_exam
