title,body,visibility,tags
update frequently asked questions for hw,we will collect another round of aws request the ddl to fill in the form is april th p m instructions are at q cv can i use pretrained models existing frameworks a contrains many specifications on using libraries frameworks please read carefully q rs what is the results csv file in the rs dataset a that is the sample output please refer to section of the writeup q where is section a sorry that is a typo it is section q what version of the library or language should i use a whichever you prefer pin,public,hw9
hw released,the write up for hw can be found in piazza resources there are three separate assignments on autolab one for each task you only need to submit one of them pin,public,hw9
permitted libraries for hw,the following libraries can be used in homework if there is a library you would like to use that is not included on this list please submit your request below this list will be updated as libraries are approved for use sci kit learn sklearn for pythonscipy numpy matplotlib csv re regular expressions osshogun ml toolbox for octaveopencvsimplecvtensorflow and tensorflow slimtorch pytorchpython imaging librarykevin murphy's bayes net toolboxfactorie malletopengmkerasmatconvnetmatlab statistic and ml toolboxtheanocaffeglove https nlp stanford edu projects glove matlab neural network toolbox nltk pyfann pandas tflearn pin,public,hw9
final exam review and mock final,hi all we have heard from many students who are concerned about the fact that they will not be able to make it to the final exam review recitation originally scheduled for thursday may pm therefore we have moved the final exam review session to take place during class on wednesday may so that all students are able to attend since the review session is now taking place during class we are going to give a mock final on thursday may from pm in place of your regularly scheduled recitation mock final locations section a ph sections b and c dh we will not be offering any other sessions for the mock final if you want to take the mock final you must be present on may from pm if you are not able to attend you may pick up a copy of the mock final the following day warm regards course staff pin,public,exam
tips for programming machine learning algorithms,hi all one of the key learning objectives of this course is the ability to translate back and forth between math and code python octave etc our hope is that you learn this through hands on practice on the homework if you're like me when you first see the material in lecture you may feel as though it makes sense however the process of implementing that ml algorithm then exposes important gaps in your understanding this is a great opportunity for learning that said it can also be frustrating here are a few tips for programming ml algorithms work through a small example on paper first do this in two phases before you start implementing anything in phase i write down some pseudocode it might only be a few lines describing the algorithm you are implementing identify the data structures you'll need to efficiently store data parameters intermediate quantities etc in phase ii construct a tiny datasets e g features examples and simplify it as much as possible on paper run your algorithm end to end on this tiny dataset and jot down all of the intermediate quantities and the final result check that your code works as expected on the tiny dataset from phase ii above if it doesn't work this provides an excellent debugging tool find the first intermediate quantity for which your code and paper implementations came up with different values the source of your bug is likely not too far away check that your code works on synthetically generated data that matches the model's assumptions in class i often generate simple d datasets and plot the results so we can see what the model has learned if you generate the data in a way that you know the model should be able to learn from then you can often better assess what's going wrong with your code don't trust your code if your code seems to run end to end on your laptop but doesn't work on autolab there's a good chance your code isn't doing what you think it is check the function signature given in the homework writeup and make sure that your implementation matches what is expected check if the function signature is ambiguous for example if the function signature expects a matrix that has dimensions n and m but we didn't specify m times n vs n times m you should let us know with a piazza note don't trust autolab a on autolab does not imply that your code is correct assuming otherwise could cause you to lose points on qna or gradescope questions related to your programming implementation our unit tests on autolab check for expected outputs on given known inputs however you could still have bugs in your code that autolab doesn't catch for example there are many different functions that given x as input will return y as output write unit tests for your code since autolab can't be trusted you don't know which edge cases it catches and which it doesn't write your own unit tests which you do trust this is standard practice in industry and no software engineer would trust your code if you couldn't demonstrate that it passed a battery of known unit tests ex if you are optimizing your code for speed a really helpful unit test is to make sure that the output of the optimized version is identical to the output of the known to be correct but slow version you just wrote ex remove stochasticity when testing if you need to test something for correctness remove the stochasticity from the problem we did this for you in hw by providing known initial cluster centers for k means this is generally good practice for unit tests start early it's sometimes difficult to assess how easy or difficult a programming assignment is until you've actually completed it correctly the software industry knows this and works really hard to make these time requirement predictions nonetheless because debugging ml algorithms can be particularly tricky it's always good to assume you'll need lots of time we think that and above are so important that we have started to incorporate them into the homework questions note that homework will be a much more challenging programming assignment than the previous assignments hopefully these programming tips will be helpful as you build your first cnn cheers matt ps if you're curious to learn more about the challenges of developing real world machine learning systems at scale check out this paper from google folks sculley et al machine learning the high interest credit card of technical debt pin,public,hw7 other
peer tutoring group assignments,hello all the peer tutoring group assignments are now available each tutor should contact their group members to arrange a weekly meeting please check your email for more information peer tutoring group assignments for those of you who are participating in the peer tutoring program take note of the following all meetings must take place at a prearranged public location and time if any changes are made to the meeting schedule you must notify the assistant instructors if any issues arise between group members notify the assistant instructors all students are still bound by the collaboration policy you should not give out homework solutions or share code with other students if you signed up for the tutoring program on or before march th but are not on the list please email the assistant instructors all students involved in the peer tutoring program should review our standing appointment policy tutors information for tutors warm regards brynn update see for information if you are having difficulty contacting your group pin,public,other
office hour queueing system,hi all for all office hours going forward we will be using the an online office hours queue using it is easy log into https queue mlcourse org using any google account e g your google apps linked andrew account or an gmail com address when you arrive at office hours in person not before add yourself to the queue with a question the ta will call you when it's your turn some other details the tas will attempt to spend a fixed number of minutes with each person e g in order to more evenly allocate their time if you're still feeling stuck after your time is up feel free to add yourself back to the queue with another question if the ta calls you and you're not there they will freeze your position on the queue you can unfreeze yourself when you come back if you are frozen twice you will lose your place in line having your question written down clearly ahead of time helps us a lot if you're not sure what your question is spend a bit of time thinking through what you are trying to ask this process is often in and of itself quite elucidating we are hoping that this will help you all better plan out your time and increase access to our tas cheers matt ps the oh queue is also linked from our course website pin,public,logistics
piazza etiquette,the best questions for piazza and the ones on which you will surely receive good answers will typically exhibit the following qualities they are short and targeted the type of answer you want is not ambiguous you highlight the specific aspect of a concept or problem that is confusing they are asked a couple days before the deadline of a homework matt pin,public,logistics
final exam,hi all the final exam for this course is scheduled to take place monday may from p m p m we do not yet have a location for the exam but i will update this post as soon as we know which classroom s we have been assigned note you will be allowed to bring a page sheet of notes front and back to use during the exam warm regards brynn p s for information about the midterm exam see pin,public,exam
do note post code or solutions publicly,hi all our course policy is extremely clear that you have a duty to protect your own work as such you are expected not to post code or homework solutions publicly either to piazza or anywhere else github bitbucket web forums etc that said we want to protect honest students from others' mistakes so we need a special case if another student posts code or a homework solution publicly in a piazza note you may inadvertently be exposed to it at no fault of your own this exposure is not cheating so what should you do if no one else has inform the class and instructors that this appears to be a code solution that should not have been posted the tas will change the note to be private as quickly as possible do not refer back to that code solution if a copy was stored in your email just delete it then write your own answer without it when submitting your collaboration questions note that you saw the publicly posted code solution in the piazza note doing so will ensure that we do not penalize you for something that could not possibly be construed as purposeful cheating the above special case only applies to publicly posted piazza notes containing homework solutions cheers matt ps if you haven't already i encourage you to read pin,public,other
