title,body,visibility,tags
supplemental readings,hi all professor waibel has dug up a handful of papers that might be of interest to you they are on things ranging from hmms to language models to tdnns you can find all of these papers on the course website note that nothing specific to these papers will be tested on that is reading these papers will not be required for the exam jon pin,public,other
final project presentation sign ups,hi all here is the sign up sheet for your presentations this thursday remember to post a link for your presentation or note how you will be presenting remember you cannot use your own machine to present jon pin,public,hw5 logistics
final project writeup posted on autolab,hi all the writeup for your final projects hw is posted on autolab feel free to start working designing your project but note that we will be getting back to you shortly hopefully by tomorrow with feedback on your topics to make sure they are reasonable changes jon pin,public,hw5
scribe sign ups,hi all here is the sign up page for scribes please note the instructions at the top of the spreadsheet also note that the first lecture should of course only be taken by the students who volunteered to scribe today in class pin,public,logistics scribe_notes
presentation,how long is the presentation going to be and do we have to prepare slides for it,public,project
small change in proposal,we ended up analyzing different dataset from what we had proposed although we had kept everything else like our algorithm the same is there anything that we have to do,public,project
final exam cheat sheets,hi all we will be allowing one page front and back cheat sheets on the final exam these must be hand written jon,public,exam
lecture scribes' notes,i did not see a post for so i am posting my notes here notes txt,public,scribe_notes
can we use libraries for the project,can we use any libraries like sklearn for our projects,private,project
alex's office hours cancelled today,hey all i'm pretty ill and in case it's contagious i don't want to contaminate any of you if anyone has any questions feel free to email me or post on piazza and i'll be sure to respond,public,logistics
final project proposal feedback released,hi all we have released project proposal feedback via autolab if you have any questions please reach out to the course staff via piazza or email jon,public,hw5
final project presentations,hi all the course staff has decided that all digital presentations for the final project must be stored online and linked to the tas specifically a ta will have a machine hooked up to the projector and will just cycle through the links provided in the presentation spreadsheet we will not allow you to hook up your own machine or give us a thumbstick if you are unsure how to go about doing this you can check out google slides from your andrew drive account it's basically online powerpoint if you are not doing a digital slideshow maybe you are doing a poster then you can disregard this jon,public,hw5 logistics
final project changes clarifications,hi all everyone will be giving their final project presentations on may th during class your write ups will be due by the following morning may th at am there will be no late days allowed for this assignment if we don't get your submission by may th at am you will receive no credit jon,public,hw5
slides from last lecture,thanks,public,logistics
homework grades released,graders for written problems neural net written jonhmms ting yaoactive learning justus,public,hw4
alex's office hours canceled today,hi all i'm cancelling my office hours today if anyone has any questions feel free to email me afrieder andrew cmu edu i'd be happy to answer questions or schedule a time to meet in person,public,other
